redcap_repeat_instance_dv,avg_koosp1,sd_koosp1,avg_koosp2,sd_koosp2,avg_koosp3,sd_koosp3,avg_koosp4,sd_koosp4,avg_koosp5,sd_koosp5,avg_koosp6,sd_koosp6,avg_koosp7,sd_koosp7,avg_koosp8,sd_koosp8,avg_koosp9,sd_koosp9,n_koos
0,2.74137931,0.548053808,1.793103448,0.853447512,1.051724138,0.711371638,1.50877193,0.928185769,0.896551724,0.693064772,2,0.837707817,0.982758621,0.80549384,0.824561404,0.734915132,0.894736842,0.699086407,58
1,2.764705882,0.472788972,1.509803922,0.758222897,0.843137255,0.731369921,1.431372549,0.854515113,0.725490196,0.665685553,1.68627451,0.734580045,0.68627451,0.734580045,0.68627451,0.677943835,0.68627451,0.616123237,51
2,2.767857143,0.571793715,1.607142857,0.947313358,0.910714286,0.769339403,1.303571429,0.829449825,0.785714286,0.779610292,1.785714286,0.824936046,0.836363636,0.833636309,0.672727273,0.771111402,0.714285714,0.731481329,56
3,2.76,0.476380914,1.5,0.839095723,0.92,0.778276484,1.3,0.735402153,0.72,0.671276579,1.74,0.803309481,0.74,0.828325087,0.54,0.613121821,0.66,0.688387646,50
4,2.660377358,0.732314461,1.377358491,1.004344698,0.773584906,0.750423199,1.301886792,0.952424147,0.58490566,0.633487364,1.641509434,0.810848075,0.679245283,0.803204757,0.566037736,0.720828422,0.641509434,0.786773832,53
5,2.75,0.6824121,1.365384615,1.048413295,0.769230769,0.807207353,1.211538462,0.893034889,0.653846154,0.813720947,1.596153846,0.869067911,0.788461538,0.847985813,0.576923077,0.77576411,0.615384615,0.795917183,52
6,2.653846154,0.737898856,1.269230769,0.931273314,0.615384615,0.661366564,1.057692308,0.849762632,0.538461538,0.699062074,1.596153846,0.846205264,0.730769231,0.717167211,0.568627451,0.640465517,0.596153846,0.721099797,52
7,2.66,0.745325569,1.14,0.903733752,0.66,0.772221814,1.08,0.804071273,0.64,0.692820323,1.62,0.830293776,0.64,0.692820323,0.48,0.614119579,0.44,0.611455273,50
8,2.680851064,0.629229445,1.127659574,1.034555592,0.595744681,0.770645536,1.127659574,0.946779927,0.574468085,0.650908424,1.413043478,0.908627462,0.680851064,0.754879287,0.5,0.78173596,0.510638298,0.655158143,47
9,2.510204082,0.819614975,0.959183673,0.865042958,0.551020408,0.647470221,0.959183673,0.789493078,0.530612245,0.61583415,1.367346939,0.782460796,0.632653061,0.727263064,0.387755102,0.570684039,0.428571429,0.577350269,49
10,2.571428571,0.816496581,1.102040816,0.91844293,0.591836735,0.733665664,1,1,0.612244898,0.75873597,1.346938776,0.92536075,0.673469388,0.718440299,0.530612245,0.680136041,0.5,0.684167455,49
11,2.489795918,0.868966076,1.040816327,0.978075996,0.510204082,0.680760879,0.87755102,0.725507095,0.469387755,0.581020683,1.306122449,0.894522257,0.551020408,0.678884639,0.469387755,0.581020683,0.408163265,0.536903442,49
12,2.489795918,0.915661168,0.93877551,0.922138892,0.530612245,0.710106823,0.816326531,0.833503384,0.428571429,0.577350269,1.306122449,0.917516613,0.617021277,0.644481304,0.469387755,0.648782219,0.367346939,0.528120786,49
13,2.551020408,0.843139581,1.06,0.866849798,0.54,0.676425177,0.98,0.820403087,0.52,0.646497629,1.22,0.932190749,0.58,0.609114446,0.38,0.602376247,0.38,0.567486402,50
14,2.576923077,0.848208119,1.153846154,1.073470008,0.557692308,0.697712271,0.923076923,0.859688814,0.538461538,0.640512615,1.25,0.860346487,0.538461538,0.699062074,0.442307692,0.607581562,0.423076923,0.572101521,52
15,2.511111111,0.944414735,1.111111111,0.934739201,0.511111111,0.694858462,0.840909091,0.83368562,0.431818182,0.586583616,1.222222222,0.926599082,0.555555556,0.724743075,0.422222222,0.621175165,0.377777778,0.534657447,45
16,2.450980392,1.082843026,1.058823529,0.858178646,0.568627451,0.640465517,1.039215686,0.870879654,0.607843137,0.665685553,1.294117647,0.900979859,0.647058824,0.716199118,0.470588235,0.542326145,0.509803922,0.612292382,51
17,2.555555556,0.840874965,1.044444444,0.928232816,0.555555556,0.659047369,0.977777778,0.81153303,0.4,0.579968651,1.311111111,0.848051838,0.555555556,0.659047369,0.4,0.579968651,0.372093023,0.535557378,45
18,2.487804878,0.925255403,1,0.894427191,0.487804878,0.637257845,1,0.741619849,0.487804878,0.637257845,1.292682927,0.782428988,0.425,0.549475274,0.341463415,0.529610994,0.43902439,0.63438082,41
19,2.568181818,0.925044996,1.113636364,0.8684632,0.5,0.698836242,0.931818182,0.789398572,0.409090909,0.622006574,1.25,0.892475001,0.522727273,0.762146185,0.409090909,0.658334114,0.363636364,0.613450367,44
20,2.428571429,0.959497223,1.071428571,0.899735411,0.714285714,0.76289618,1.071428571,0.71639899,0.464285714,0.63724772,1.178571429,0.722832465,0.5,0.745355992,0.357142857,0.621484824,0.357142857,0.487950036,28
21,2.631578947,0.895080773,1.157894737,0.764719113,0.684210526,0.820069887,0.947368421,0.848114524,0.684210526,0.749268649,1.315789474,0.820069887,0.473684211,0.696692268,0.526315789,0.61177529,0.526315789,0.696692268,19
22,2.333333333,1.032795559,1.666666667,0.816496581,0.666666667,0.516397779,1.166666667,0.752772653,0.5,0.547722558,1,0.894427191,0.666666667,0.816496581,0.333333333,0.516397779,0.5,0.547722558,6
23,2.25,0.957427108,1.25,0.957427108,0.5,0.577350269,0.75,0.957427108,0.75,0.5,1,0.816496581,0.75,0.957427108,0.5,0.577350269,0.25,0.5,4
24,3,0,1.5,0.707106781,1.5,0.707106781,1.5,0.707106781,1,0,1.5,0.707106781,1.5,0.707106781,1,0,0.5,0.707106781,2
